32  1
  0    0    0.00000000000000000000000000000000000000000000000000000000000000e+00
  0    2    0.00000000000000000000000000000000000000000000000000000000000000e+00
  0    4   -9.40255961521344408373879268197712084064586486614933132504880480e+00
  0    6   -1.27202911607156721592456383091353823142638958260821878756382791e+02
  0    8    6.67469752386233084120100087178869758589662717841426058517583300e+03
  0   10   -2.32279920884184478520041883069700536364266332543900659428734300e+04
  0   12   -5.31195612882283307070440456913087038590844611845777824238645001e+06
  0   14   -7.38624722457913570494422592210519974153361457605108375613094001e+08
  0   16    1.42982956005979234293894520895556400273265501286213935277061500e+11
  0   18   -5.97474384837266372600811597788092266957410092162008813862200071e+11
  0   20   -1.37076341259728357855128333399640815456352887425975939005011995e+15
  0   22   -5.03237020992347155549331989586507250304933293690926347610570004e+17
  0   24    2.19730152420383570599704561048781250147522131693569174030470004e+20
  0   26   -1.54834077694967337951936956370040655786929143258455301426700099e+21
  0   28   -9.37122620255716441387437029361826851634520026996323083512600926e+24
  0   30   -6.36111665114428737450182901622042097122693199992757530675100220e+27
  0   32    5.07767003540124153190731136006828947229021585941152655851999386e+30
  2    2    4.70127980760672204186939634098856042032293243307466566252440240e+00
  2    4    6.36014558035783607962281915456769115713194791304109393781913960e+01
  2    6   -3.33734876193116542060050043589434879294831358920713029258791630e+03
  2    8    1.16139960442092239260020941534850268182133166271950329714367000e+04
  2   10    2.65597806441141653535220228456543519295422305922888912119324000e+06
  2   12    3.69312361228956785247211296105259987076680728802554187806546200e+08
  2   14   -7.14914780029896171469472604477782001366327506431069676385289999e+10
  2   16    2.98737192418633186300405798894046133478705046081004406902349982e+11
  2   18    6.85381706298641789275641666998204077281764437129879695080449973e+14
  2   20    2.51618510496173577774665994793253625152466646845463173988500001e+17
  2   22   -1.09865076210191785299852280524390625073761065846784583821328000e+20
  2   24    7.74170388474836689759684781850203278934645716292286563498000704e+20
  2   26    4.68561310127858220693718514680913425817260013498166909588300561e+24
  2   28    3.18055832557214368725091450811021048561346599996404160354000115e+27
  2   30   -2.53883501770062076595365568003414473614510792970323437326699316e+30
  4    4    3.33734876193116542060050043589434879294831358920713029258791630e+03
  4    6   -2.32279920884184478520041883069700536364266332543900659428734100e+03
  4    8   -6.03690623481736414321925570941425187320356162870974528898133200e+06
  4   10   -1.58276726240981479391661984045111423032863169486808937631376900e+08
  4   12    6.74766169731163095971436474396217495162973611282662076207574000e+10
  4   14    9.43925068448938169104194204312876166729606398127391894166329999e+11
  4   16   -1.27368083703176191332466547813678389168957267909220947651105999e+15
  4   18   -1.45673752769892649176816462178811525610510715964534879558968000e+17
  4   20    9.92662999893526407604074924172251481170105990691789919325099831e+19
  4   22    3.88308850843640725639605129512608893180549364768320656428999905e+21
  4   24   -7.93368978809980202497346019673417379276074722790170053124200053e+24
  4   26   -2.01460614002020537198764897096536782982832872470984658534700080e+27
  4   28    2.25108052741735942340803736550978974682098040826106084678999888e+30
  6    6    7.72737032002033794715278242183866021332823091345017337287537900e+06
  6    8    5.27589087469938264638873280150371410109543898289363125437923401e+07
  6   10   -6.54691864581796558222418409355435242061296663708458276118718000e+10
  6   12   -1.56525619888272384680649420591633731683376212023159004470121000e+12
  6   14    1.56783040239832197534917738370607379889347680007337436722635000e+15
  6   16    9.27013739067521848778916958715904758395327505240707323390070019e+16
  6   18   -9.39669118789330684906850983636424096386353656803761959520889935e+19
  6   20   -6.21171795689202922947391933361423503717556332967095295479600051e+21
  6   22    9.55772813151041193399159772169669356005482077436171698057600202e+24
  6   24    1.43163004724423621435601620239294650193576008708275121902859943e+27
  6   26   -2.10720328227572875213522820824761225215891664753995996907499869e+30
  8    8    6.50677003551923250672614796347278791440961274193617516100945999e+10
  8   10    7.59585675297422459731683231336067585800777440399852612091170999e+11
  8   12   -1.69389450184113343050253962895005518769514999477958789181864000e+15
  8   14   -5.17682596651568647818215416542064407921645314706034444256359998e+16
  8   16    9.46735173316927903847771476368542771755443235966373419544429937e+19
  8   18    5.72822300855305139984618730837485037774016026994131593102229986e+21
  8   20   -1.04480449766525818332804576404398652291651706437947744202430010e+25
  8   22   -1.05135992712245096371897237501958917974845029167279180031949958e+27
  8   24    2.09748665853593901311615591952643471390978113918551833746699737e+30
 10   10    1.73591586832207058222032704403138231729570772634832573334939000e+15
 10   12    1.68547777343341167871786934817409131066011856106345861650227003e+16
 10   14   -9.83831195660421593607764185734634477200953771654304589472209953e+19
 10   16   -3.83866586181677366886565525127170033590202083935298719141930011e+21
 10   18    1.09715010726605317277046787560733628491836586747143523879090012e+25
 10   20    7.72442793327757666579223018245763860413769917371400441918099693e+26
 10   22   -2.15485034549706974022395206507575715386710975701440605347299824e+30
 12   12    1.00401948635276124219334280641066992668851842359560647799910992e+20
 12   14    1.34651063005308169444820889479836513017699439268236200261460000e+21
 12   16   -1.12473981700880798347604355813670917239621535232913965526540012e+25
 12   18   -4.96530035831166572047841299431901368583689571338627152627999885e+26
 12   20    2.22209117054652047164427119990334162669496763623518863570499992e+30
 14   14    1.13353871442121352631958153727060045054265895176113797518040009e+25
 14   16    1.74447349618182804680363802258217116584194557154496943710329998e+26
 14   18   -2.27060754737799097646994060151306915972538734445214882874600192e+30
 16   16    2.28814165328878115574074338883517447895781141063855066709599886e+30
